player;input;partida;kills;colocacao
PATT_L;controle;2;1;26
PATT_L;controle;3;0;27
PATT_L;controle;4;0;34
PATT_L;controle;5;1;17
ITSME_ROGER;controle;1;2;22
ITSME_ROGER;controle;2;1;37
ITSME_ROGER;controle;3;0;43
ITSME_ROGER;controle;4;1;28
ITSME_ROGER;controle;5;4;30
EUCHAVS;controle;1;7;11
EUCHAVS;controle;2;11;3
EUCHAVS;controle;3;10;13
EUCHAVS;controle;4;13;13
EUCHAVS;controle;5;9;23
FANTONFPS;mouse;1;5;17
FANTONFPS;mouse;2;6;1
FANTONFPS;mouse;3;3;6
FANTONFPS;mouse;4;0;40
FANTONFPS;mouse;5;9;3
BEATRIZFS;controle;1;1;38
BEATRIZFS;controle;2;0;44
BEATRIZFS;controle;3;2;35
BEATRIZFS;controle;4;4;24
BEATRIZFS;controle;5;0;44
LEANDROIDO;controle;1;5;21
LEANDROIDO;controle;2;6;13
LEANDROIDO;controle;3;3;8
LEANDROIDO;controle;4;6;9
LEANDROIDO;controle;5;1;21
LERLINBR99;controle;1;0;32
LERLINBR99;controle;2;0;44
LERLINBR99;controle;3;4;26
LERLINBR99;controle;4;4;21
LERLINBR99;controle;5;3;19
K4RAMBITT;controle;1;7;1
K4RAMBITT;controle;2;7;9
K4RAMBITT;controle;3;7;9
K4RAMBITT;controle;4;3;27
K4RAMBITT;controle;5;7;7
WINX_FPS;controle;1;4;18
WINX_FPS;controle;2;0;44
WINX_FPS;controle;3;0;44
WINX_FPS;controle;4;0;44
WINX_FPS;controle;5;2;25
PAPAGUEJO;controle;1;5;10
PAPAGUEJO;controle;2;8;11
PAPAGUEJO;controle;3;6;30
PAPAGUEJO;controle;4;5;14
PAPAGUEJO;controle;5;10;16
PEDRINHOFPS;mouse;1;2;16
PEDRINHOFPS;mouse;2;0;27
PEDRINHOFPS;mouse;3;0;29
PEDRINHOFPS;mouse;4;0;42
PEDRINHOFPS;mouse;5;0;36
DGL1MA;controle;1;6;7
DGL1MA;controle;2;4;35
DGL1MA;controle;3;8;15
DGL1MA;controle;4;2;38
DGL1MA;controle;5;7;35
TONYTEMAMO;mouse;1;6;6
TONYTEMAMO;mouse;2;4;8
TONYTEMAMO;mouse;3;3;7
TONYTEMAMO;mouse;4;0;44
TONYTEMAMO;mouse;5;2;29
ILUDIDO_FPS;controle;1;1;41
ILUDIDO_FPS;controle;2;4;20
ILUDIDO_FPS;controle;3;2;16
ILUDIDO_FPS;controle;4;6;1
ILUDIDO_FPS;controle;5;2;12
