player;input;partida;kills;colocacao
DREYK;controle;3;11;6
DREYK;controle;4;3;36
DREYK;controle;5;5;22
DREYK;controle;6;0;44
DREYK;controle;7;3;38
DREYK;controle;8;5;44
GETWAY;controle;1;7;19
GETWAY;controle;2;8;14
GETWAY;controle;3;10;5
GETWAY;controle;4;4;9
GETWAY;controle;5;10;5
GETWAY;controle;6;7;10
GETWAY;controle;7;7;24
GETWAY;controle;8;11;20
CLARA FIERCE;controle;1;5;14
CLARA FIERCE;controle;2;3;29
CLARA FIERCE;controle;3;4;26
CLARA FIERCE;controle;4;0;0
CLARA FIERCE;controle;5;3;11
CLARA FIERCE;controle;6;3;39
CLARA FIERCE;controle;7;6;5
CLARA FIERCE;controle;8;2;24
YKZHARDCORE;mouse;1;0;44
YKZHARDCORE;mouse;2;6;20
YKZHARDCORE;mouse;3;1;44
YKZHARDCORE;mouse;4;2;33
YKZHARDCORE;mouse;5;2;24
YKZHARDCORE;mouse;6;6;33
YKZHARDCORE;mouse;7;0;37
YKZHARDCORE;mouse;8;5;12
BALTAFPS;mouse;1;4;12
BALTAFPS;mouse;2;4;7
BALTAFPS;mouse;3;1;29
BALTAFPS;mouse;4;2;17
BALTAFPS;mouse;5;3;39
BALTAFPS;mouse;6;1;11
BALTAFPS;mouse;7;0;31
BALTAFPS;mouse;8;;
ABOJEK;controle;1;6;8
ABOJEK;controle;2;4;9
ABOJEK;controle;3;1;34
ABOJEK;controle;4;4;12
ABOJEK;controle;5;3;25
ABOJEK;controle;6;2;38
ABOJEK;controle;7;6;27
ABOJEK;controle;8;0;38
NINEXT;mouse;1;3;31
NINEXT;mouse;2;0;41
NINEXT;mouse;3;3;23
NINEXT;mouse;4;7;13
NINEXT;mouse;5;4;27
NINEXT;mouse;6;4;30
NINEXT;mouse;7;5;26
NINEXT;mouse;8;13;13
NICE PADRIN;controle;1;0;44
NICE PADRIN;controle;2;0;44
NICE PADRIN;controle;3;6;14
NICE PADRIN;controle;4;5;1
NICE PADRIN;controle;5;6;15
NICE PADRIN;controle;6;8;9
NICE PADRIN;controle;7;7;14
NICE PADRIN;controle;8;6;7
PAPAGUEJO;controle;1;5;15
PAPAGUEJO;controle;2;1;27
PAPAGUEJO;controle;3;3;25
PAPAGUEJO;controle;4;2;15
PAPAGUEJO;controle;5;0;40
PAPAGUEJO;controle;6;3;32
PAPAGUEJO;controle;7;2;29
PAPAGUEJO;controle;8;1;2
IGOTEE;mouse;1;0;44
IGOTEE;mouse;2;2;24
IGOTEE;mouse;3;1;33
IGOTEE;mouse;4;1;6
IGOTEE;mouse;5;0;0
IGOTEE;mouse;6;0;0
IGOTEE;mouse;7;0;0
IGOTEE;mouse;8;0;0
FOTTLE;controle;1;6;29
FOTTLE;controle;2;5;2
FOTTLE;controle;3;4;11
FOTTLE;controle;4;4;32
FOTTLE;controle;5;7;9
FOTTLE;controle;6;4;14
FOTTLE;controle;7;0;44
FOTTLE;controle;8;2;17
SAVIOLI;controle;1;5;5
SAVIOLI;controle;2;1;39
SAVIOLI;controle;3;4;21
SAVIOLI;controle;4;1;22
SAVIOLI;controle;5;4;3
SAVIOLI;controle;6;2;17
SAVIOLI;controle;7;4;16
SAVIOLI;controle;8;0;0
SROGATA;controle;1;5;32
SROGATA;controle;2;4;16
SROGATA;controle;3;0;44
SROGATA;controle;4;11;21
SROGATA;controle;5;0;0
SROGATA;controle;6;10;25
SROGATA;controle;7;6;11
SROGATA;controle;8;6;21
KROLPLAYS;controle;1;2;38
KROLPLAYS;controle;2;3;22
KROLPLAYS;controle;3;0;38
KROLPLAYS;controle;4;2;16
KROLPLAYS;controle;5;2;38
KROLPLAYS;controle;6;5;6
KROLPLAYS;controle;7;0;41
KROLPLAYS;controle;8;1;37
THACKOUTZ;mouse;1;0;27
THACKOUTZ;mouse;2;2;36
THACKOUTZ;mouse;3;1;32
THACKOUTZ;mouse;4;2;19
THACKOUTZ;mouse;5;2;13
THACKOUTZ;mouse;6;5;19
THACKOUTZ;mouse;7;3;19
THACKOUTZ;mouse;8;2;23
LEANDROIDO;controle;1;1;20
LEANDROIDO;controle;2;2;17
LEANDROIDO;controle;3;4;22
LEANDROIDO;controle;4;3;28
LEANDROIDO;controle;5;3;23
LEANDROIDO;controle;6;1;13
LEANDROIDO;controle;7;2;13
LEANDROIDO;controle;8;0;32
GARCIA;mouse;1;7;2
GARCIA;mouse;2;4;21
GARCIA;mouse;3;8;17
GARCIA;mouse;4;2;25
GARCIA;mouse;5;2;42
GARCIA;mouse;6;4;8
GARCIA;mouse;7;0;22
GARCIA;mouse;8;3;29
XGUSS_;controle;1;3;30
XGUSS_;controle;2;5;26
XGUSS_;controle;3;4;13
XGUSS_;controle;4;3;6
XGUSS_;controle;5;5;10
XGUSS_;controle;6;6;16
XGUSS_;controle;7;5;20
XGUSS_;controle;8;4;6
DUPRADO;controle;1;1;40
DUPRADO;controle;2;7;3
DUPRADO;controle;3;7;4
DUPRADO;controle;4;6;18
DUPRADO;controle;5;3;35
DUPRADO;controle;6;3;4
DUPRADO;controle;7;9;4
DUPRADO;controle;8;4;16
INEWWZ;mouse;1;6;17
INEWWZ;mouse;2;5;6
INEWWZ;mouse;3;0;19
INEWWZ;mouse;4;7;7
INEWWZ;mouse;5;4;20
INEWWZ;mouse;6;5;28
INEWWZ;mouse;7;5;7
INEWWZ;mouse;8;5;3
FODOVSKI;mouse;1;2;24
FODOVSKI;mouse;2;16;1
FODOVSKI;mouse;3;1;9
FODOVSKI;mouse;4;6;14
FODOVSKI;mouse;5;3;29
FODOVSKI;mouse;6;7;5
FODOVSKI;mouse;7;0;44
FODOVSKI;mouse;8;0;44
SAVYTZ;controle;1;3;16
SAVYTZ;controle;2;0;44
SAVYTZ;controle;3;1;34
SAVYTZ;controle;4;1;44
SAVYTZ;controle;5;4;14
SAVYTZ;controle;6;7;2
SAVYTZ;controle;7;8;2
SAVYTZ;controle;8;3;4
